직종,세부직종,직무태그,근무경력,근무형태,근무지역,출신대학,대학전공,어학시험,자격증,대학성적,근무경력_원본,해외취업여부,근무지역1,근무지역2,근무지역3
문화·예술·신문·방송,영상·음향·사진·카메라,"취재기자,편집기사,유아사이트기획,시나리오작성",0,계약직,"서울,경기,서울",성균관대학교,국어,미응시,無,70.0,0개월,x,서울,경기,서울
경영·기획·회계·사무,사무·총무·법무,기타,35,정규직,"부산,서울,일본",신라대학교,경영,JLPT,無,70.0,2년 11개월,x,부산,서울,일본
IT·게임,하드웨어설계·개발·관리,"하드웨어,무선통신,MICOM,ASM,RF,CDMA,FirmWare,텔레콤,C++,ADSL,",0,계약직,"서울,경기,",기타,정보,미응시,有,60.0,0개월,x,서울,서울,서울
영업·판매·TM,기술영업,반도체,12,정규직,"경기,서울,충북",기타,정보,미응시,有,70.0,1년 0개월,x,경기,서울,충북
기술·과학·산업,기타 기술·과학·산업,기술직,0,계약직,"전국,전국,전국",한밭대학교,화학,미응시,無,70.0,0개월,x,전국,전국,전국
IT·게임,"응용프로그래머(Unix,Linux,Java)","C,Server,PHP",0,계약직,"서울,경기,전북",전주대학교,컴퓨터,미응시,有,70.0,0개월,x,서울,경기,전북
경영·기획·회계·사무,경영·기획·전략,IPO,0,계약직,"서울,경기,인천",한성대학교,사학,미응시,無,60.0,0개월,x,서울,경기,인천
영업·판매·TM,해외영업,"해외영업,일본,중국,해외무역",0,계약직,"서울,경기,일본",세명대학교,일본,JPT,有,70.0,0개월,x,서울,경기,일본
경영·기획·회계·사무,경영·기획·전략,상품기획,0,계약직,"서울,경기,인천",세종대학교,영어,미응시,無,60.0,0개월,x,서울,경기,인천
경영·기획·회계·사무,경리·회계,기타,31,계약직,"서울,,",성신여자대학교,불어,TOEIC,無,80.0,2년 7개월,x,서울,서울,서울
경영·기획·회계·사무,마케팅·마케팅기획,"인터넷마케팅,보험컨텐츠,CRM,금융서비스,제휴업무,웹기획,웹프로모션,로그분석,이벤트",110,정규직,"서울,,",기타,산업,미응시,無,70.0,9년 2개월,x,서울,서울,서울
IT·게임,"응용프로그래머(Unix,Linux,Java)","Delphi,네트웍,보안,응용프로그램",0,계약직,"서울,서울,경기",제주대학교,통계,미응시,有,80.0,0개월,x,서울,서울,경기
경영·기획·회계·사무,마케팅·마케팅기획,"마케팅,광고,PR",0,계약직,"서울,대전,",연세대학교,신문,미응시,無,70.0,0개월,x,서울,서울,서울
IT·게임,웹디자인,"웹디자인,HTML,flash,포토샵,드림위버,자바스크립트",0,계약직,"서울,경기,",동덕여자대학교,미술,미응시,無,50.0,0개월,x,서울,서울,서울
IT·게임,웹디자인,"웹디자인,HTML,플래쉬,포토샵,드림위버,자바스크립트",0,계약직,"서울,경기,",동덕여자대학교,미술,미응시,無,70.0,0개월,x,서울,서울,서울
경영·기획·회계·사무,사무·총무·법무,"임원비서,경리회계,무역사무,논술교육",0,계약직,"서울,경기,",동덕여자대학교,문예,JPT,有,60.0,0개월,x,서울,서울,서울
